

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================
    Y1E               XTAL,C5           04190 10365
    Y1F               XTAL,C5           04190 11565
    Y1G               XTAL,C5           05390 11565
    Y1H               XTAL,C5           06590 11565
    Y2                XTAL,FC-135       04590 08645

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page 11

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    Y2A               XTAL,FC-135       05790 08645
    Y2B               XTAL,FC-135       06990 08645
    Y2C               XTAL,FC-135       06990 09845
    Y2D               XTAL,FC-135       05790 09845
    Y2E               XTAL,FC-135       04590 09845
    Y2F               XTAL,FC-135       04590 11045
    Y2G               XTAL,FC-135       05790 11045
    Y2H               XTAL,FC-135       06990 11045
    



































                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page 12
